game,game_time,blue_team,blue_team_dragons,blue_team_gold,blue_team_inhibitors,blue_team_barons,blue_team_towers,blue_team_kills,blue_team_top,blue_team_top_kills,blue_team_top_deaths,blue_team_top_assists,blue_team_top_cs,blue_team_top_gold,blue_team_jungle,blue_team_jungle_kills,blue_team_jungle_deaths,blue_team_jungle_assists,blue_team_jungle_cs,blue_team_jungle_gold,blue_team_mid,blue_team_mid_kills,blue_team_mid_deaths,blue_team_mid_assists,blue_team_mid_cs,blue_team_mid_gold,blue_team_bottom,blue_team_bottom_kills,blue_team_bottom_deaths,blue_team_bottom_assists,blue_team_bottom_cs,blue_team_bottom_gold,blue_team_support,blue_team_support_kills,blue_team_support_deaths,blue_team_support_assists,blue_team_support_cs,blue_team_support_gold,red_team,red_team_dragons,red_team_gold,red_team_inhibitors,red_team_barons,red_team_towers,red_team_kills,red_team_top,red_team_top_kills,red_team_top_deaths,red_team_top_assists,red_team_top_cs,red_team_top_gold,red_team_jungle,red_team_jungle_kills,red_team_jungle_deaths,red_team_jungle_assists,red_team_jungle_cs,red_team_jungle_gold,red_team_mid,red_team_mid_kills,red_team_mid_deaths,red_team_mid_assists,red_team_mid_cs,red_team_mid_gold,red_team_bottom,red_team_bottom_kills,red_team_bottom_deaths,red_team_bottom_assists,red_team_bottom_cs,red_team_bottom_gold,red_team_support,red_team_support_kills,red_team_support_deaths,red_team_support_assists,red_team_support_cs,red_team_support_gold
8,early,ITZ,['infernal'],22.2 K,0,0,1,3,Zzk,0,2,1,108,4.4 K,Yampi,1,1,2,80,4.9 K,NOsFerus,2,1,1,115,5.2 K,NinjaKiwi,0,0,0,110,4.8 K,Nia,0,2,2,22,3.0 K,PNG,['chemtech'],21.8 K,0,0,0,6,Wizer,2,1,2,102,4.5 K,CarioK,0,2,3,66,3.6 K,dyNquedo,1,0,3,120,4.9 K,Bvoy,3,0,2,111,5.6 K,ProDelta,0,0,5,18,3.2 K
9,early,RED,[],2.5 K,0,0,0,0,fNb,0,0,0,0,500,Aegis,0,0,0,0,500,Envy,0,0,0,0,500,TitaN,0,0,0,0,500,frostyy,0,0,0,0,500,LLL,[],2.5 K,0,0,0,0,Robo,0,0,0,0,500,Croc,0,0,0,0,500,tinowns,0,0,0,0,500,Route,0,0,0,0,500,Ceos,0,0,0,0,500
1,late,FX,['hextech'],36.9 K,0,0,2,7,Tay,4,3,1,164,8.4 K,Disamis,1,2,3,137,6.8 K,hauz,0,0,2,226,8.1 K,Brance,2,1,0,209,8.8 K,JoJo,0,2,3,28,4.7 K,VKS,"['ocean', 'mountain']",40.7 K,0,1,2,8,Guigo,3,4,1,179,9.7 K,Grell,1,2,5,135,7.9 K,Grevthar,1,1,2,188,7.9 K,Trigo,3,0,1,225,9.9 K,Damage,0,0,4,34,5.2 K
10,late,LLL,[],36.2 K,0,0,3,9,Robo,1,1,3,171,7.3 K,Croc,2,2,3,124,7.5 K,tinowns,3,1,5,144,8.1 K,Route,3,3,5,177,8.7 K,Ceos,0,4,9,29,4.7 K,RED,"['mountain', 'hextech']",33.3 K,0,0,2,11,fNb,4,1,1,180,9.1 K,Aegis,2,2,6,102,6.8 K,Envy,5,0,4,130,7.2 K,TitaN,0,4,5,119,5.7 K,frostyy,0,2,6,32,4.5 K
11,late,RED,"['chemtech', 'cloud']",40.0 K,0,0,3,8,fNb,1,0,3,197,8.9 K,Aegis,0,1,5,142,7.3 K,Envy,0,0,3,200,7.8 K,TitaN,4,1,2,232,10.1 K,frostyy,3,1,3,32,5.9 K,LLL,['infernal'],39.7 K,0,0,4,3,Robo,1,1,1,245,10.4 K,Croc,1,0,1,128,7.6 K,tinowns,0,4,0,213,8.3 K,Route,0,2,1,219,8.4 K,Ceos,1,1,1,26,5.1 K
12,late,RED,"['ocean', 'cloud', 'hextech']",47.0 K,0,0,3,11,fNb,5,1,0,210,10.9 K,Aegis,3,3,5,134,9.0 K,Envy,0,4,4,194,8.5 K,TitaN,2,4,7,251,12.1 K,frostyy,1,4,7,34,6.6 K,LLL,['hextech'],57.6 K,1,2,8,16,Robo,4,2,6,250,13.0 K,Croc,2,3,9,136,9.9 K,tinowns,3,1,8,258,13.2 K,Route,6,1,6,259,13.5 K,Ceos,1,4,10,42,7.8 K
13,late,VKS,"['cloud', 'infernal', 'chemtech', 'chemtech']",55.2 K,1,1,7,24,Guigo,2,2,12,203,10.6 K,Grell,7,3,10,166,11.5 K,Grevthar,4,2,12,211,10.9 K,Trigo,10,2,7,246,15.0 K,Damage,1,4,17,31,7.2 K,ITZ,[],48.0 K,0,0,3,13,Zzk,4,7,5,194,9.9 K,Yampi,2,5,7,149,8.9 K,NOsFerus,4,3,8,243,11.1 K,NinjaKiwi,3,3,9,282,12.0 K,Nia,0,6,10,27,6.0 K
14,late,ITZ,"['mountain', 'ocean', 'chemtech', 'chemtech']",64.6 K,2,2,9,18,Zzk,9,2,6,264,15.5 K,Yampi,3,1,12,170,11.3 K,NOsFerus,2,2,11,226,12.6 K,NinjaKiwi,4,1,11,329,16.4 K,Nia,0,1,16,49,8.8 K,VKS,['chemtech'],57.6 K,0,0,5,7,Guigo,2,5,2,232,11.6 K,Grell,0,4,6,161,9.7 K,Grevthar,0,1,4,308,13.3 K,Trigo,5,3,1,364,15.8 K,Damage,0,5,6,41,7.1 K
15,late,ITZ,['elder'],81.1 K,3,2,10,25,Zzk,4,4,12,344,17.6 K,Yampi,3,2,16,205,14.5 K,NOsFerus,6,5,14,254,15.5 K,NinjaKiwi,12,3,7,402,22.6 K,Nia,0,4,21,60,10.9 K,VKS,"['mountain', 'mountain', 'hextech', 'ocean']",73.1 K,0,1,5,18,Guigo,4,6,8,365,17.8 K,Grell,3,8,11,210,12.8 K,Grevthar,6,2,10,345,17.2 K,Trigo,5,2,9,346,16.4 K,Damage,0,7,13,43,9.0 K
16,late,ITZ,"['ocean', 'hextech', 'cloud', 'cloud', 'elder']",60.6 K,1,0,7,24,Zzk,10,2,9,206,13.6 K,Yampi,4,0,12,198,12.7 K,NOsFerus,6,2,7,212,11.8 K,NinjaKiwi,4,2,11,305,14.7 K,Nia,0,4,16,48,7.8 K,VKS,[],53.9 K,0,1,4,10,Guigo,3,7,4,195,11.9 K,Grell,0,4,8,158,9.6 K,Grevthar,3,5,4,260,12.6 K,Trigo,3,2,5,260,12.7 K,Damage,0,6,6,37,7.1 K
17,late,PNG,"['cloud', 'ocean', 'ocean']",66.5 K,0,1,3,9,Wizer,2,3,4,318,14.4 K,CarioK,0,3,9,199,11.5 K,dyNquedo,2,1,4,329,14.4 K,Bvoy,2,1,6,400,16.7 K,ProDelta,3,3,6,49,9.4 K,LLL,"['ocean', 'ocean', 'chemtech']",71.1 K,1,2,8,11,Robo,2,0,7,305,15.5 K,Croc,2,3,5,217,14.3 K,tinowns,2,0,8,309,14.5 K,Route,5,1,3,397,18.6 K,Ceos,0,5,2,34,8.3 K
18,late,PNG,['ocean'],54.6 K,0,1,4,5,Wizer,0,4,4,264,11.2 K,CarioK,0,1,4,168,9.7 K,dyNquedo,0,1,4,313,12.5 K,Bvoy,4,2,0,317,13.9 K,ProDelta,1,3,2,44,7.4 K,LLL,"['ocean', 'chemtech', 'cloud']",61.9 K,2,1,10,11,Robo,5,0,3,263,13.3 K,Croc,1,0,7,211,11.5 K,tinowns,0,3,2,315,13.9 K,Route,3,0,4,333,15.0 K,Ceos,2,2,4,47,8.1 K
19,late,LLL,"['mountain', 'mountain']",58.6 K,2,1,10,21,Robo,3,1,10,211,13.0 K,Croc,8,1,6,189,12.9 K,tinowns,5,0,7,228,11.5 K,Route,5,0,9,274,13.8 K,Ceos,0,4,11,39,7.4 K,PNG,"['cloud', 'chemtech']",48.8 K,0,0,3,6,Wizer,0,6,2,202,9.7 K,CarioK,0,7,4,137,8.4 K,dyNquedo,3,0,3,223,10.3 K,Bvoy,2,4,3,316,13.6 K,ProDelta,1,4,4,34,6.7 K
2,late,VKS,"['chemtech', 'chemtech']",65.7 K,0,2,4,12,Guigo,3,5,3,292,15.0 K,Grell,3,6,6,171,11.9 K,Grevthar,3,3,6,261,13.4 K,Trigo,3,2,4,372,17.0 K,Damage,0,4,9,34,8.5 K,FX,"['chemtech', 'chemtech', 'cloud', 'hextech']",69.4 K,1,0,7,20,Tay,2,1,15,339,16.1 K,Disamis,2,1,14,173,11.2 K,hauz,1,6,7,280,12.9 K,Brance,12,1,7,379,19.8 K,JoJo,3,3,10,49,9.4 K
20,late,RED,"['mountain', 'mountain', 'mountain']",65.4 K,2,2,11,39,fNb,8,0,8,198,12.8 K,Aegis,5,1,21,167,12.9 K,Envy,9,3,19,185,13.3 K,TitaN,13,3,15,247,16.2 K,frostyy,4,2,30,35,10.1 K,ITZ,"['ocean', 'chemtech']",50.9 K,0,0,2,9,Zzk,1,8,3,205,9.9 K,Yampi,2,7,7,197,10.3 K,NOsFerus,4,3,5,268,12.5 K,NinjaKiwi,2,6,6,249,11.8 K,Nia,0,15,8,42,6.4 K
21,late,ITZ,['hextech'],40.2 K,0,0,4,10,Zzk,3,1,4,185,8.9 K,Yampi,0,3,7,136,7.2 K,NOsFerus,1,1,4,184,8.0 K,NinjaKiwi,6,1,2,217,10.5 K,Nia,0,2,9,36,5.6 K,RED,"['infernal', 'cloud']",35.2 K,0,0,1,8,fNb,1,2,2,185,7.2 K,Aegis,0,2,8,119,6.3 K,Envy,4,1,3,190,8.8 K,TitaN,2,3,4,211,8.0 K,frostyy,1,2,6,31,4.9 K
